,,,,,Roughness_Overflow,Roughness_Absolute,Roughness_Square,Roughness_Overflow_Overflow,Roughness_Overflow_Absolute,Roughness_Overflow_Square,Roughness_Absolute_Overflow,Roughness_Absolute_Absolute,Roughness_Absolute_Square,Roughness_Square_Overflow,Roughness_Square_Absolute,Roughness_Square_Square,Opacity,Blue,Green,Red,Corner Count,Corner Proportion,Horizontal Thickness,Vertical Thickness,Average Thickness,
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 17 i=7, j= 1","Brown Alpaca 17 i=7, j= 1 Mask 0.JPG",101.5028254,1.194533269,4.384773753,101.1293092,36.31744711,132.775023,47.44942836,0.035568794,0.088264926,91.01138902,1.36558763,7.874676946,80.56725574,160.1351292,175.7254052,190.3958388,13,0.000569426,34.37770612,46.97325103,40.67547857,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 2 i=6, j= 2","Brown Alpaca 2 i=6, j= 2 Mask 0.JPG",96.02852624,0.910028116,2.84014761,101.4833646,39.14749297,133.2432052,41.64585286,0.018744142,0.040651359,82.64690722,0.837570291,3.642396907,87.32388574,157.547004,178.4757219,200.2098635,101,0.005915773,39.63745799,22.58403132,31.11074465,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 24 i=8, j= 1","Brown Alpaca 24 i=8, j= 1 Mask 2.JPG",101.0144745,1.486259702,6.762429201,100.9184498,35.47734424,131.9728341,52.8258863,0.082704007,0.191577512,94.51814558,2.219582547,18.36139081,69.71067965,160.2798783,182.0653941,200.0902512,10,0.000524411,12.18150926,46.7337144,29.45761183,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 29 i=7, j= 1","Brown Alpaca 29 i=7, j= 1 Mask 0.JPG",101.8058725,1.285300168,4.959510006,103.3931176,38.2648214,134.8179353,47.83729194,0.037497662,0.093977932,93.87394801,1.505517112,9.228726389,86.25227323,157.8206639,172.6790089,187.6603086,13,0.001215521,37.20385642,42.62256182,39.91320912,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 3 i=6, j= 2","Brown Alpaca 3 i=6, j= 2 Mask 0.JPG",96.02852624,0.910028116,2.84014761,101.4833646,39.14749297,133.2432052,41.64585286,0.018744142,0.040651359,82.64690722,0.837570291,3.642396907,87.32388574,157.547004,178.4757219,200.2098635,101,0.005915773,39.63745799,22.58403132,31.11074465,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 32 i=6, j= 1","Brown Alpaca 32 i=6, j= 1 Mask 5.JPG",105.4891247,1.514570795,6.401488755,106.0034843,39.84542287,130.2033048,56.277637,0.084309999,0.2143913,101.4543343,2.315542181,16.54101996,109.9470432,143.2661669,156.3014306,165.3688962,44,0.002322758,45.81346392,63.14,54.47673196,0
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 6 i=6, j= 1","Brown Alpaca 6 i=6, j= 1 Mask 1.JPG",101.5327342,1.230117835,4.457639305,103.8479728,37.84174156,133.2671061,49.6232874,0.047253845,0.114959057,94.86019573,1.502496505,8.796245257,87.05024604,148.6994328,167.4849816,185.7774804,41,0.001637642,71.12215909,29.89203032,50.5070947,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 6 i=7, j= 1","Brown Alpaca 6 i=7, j= 1 Mask 1.JPG",101.0117468,1.168022067,4.054929377,100.5358349,34.59423598,135.8806297,46.45237076,0.028867646,0.071051505,90.29238598,1.224806202,6.60902649,82.82006416,153.793561,175.9978124,196.1542705,26,0.001236447,60.07714286,46.25009193,53.1636174,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 6 i=9, j= 1","Brown Alpaca 6 i=9, j= 1 Mask 1.JPG",98.96540282,1.133801786,4.074757234,100.3967696,35.64909969,133.5142732,46.25886888,0.033572439,0.081149661,88.87703118,1.262187088,7.294734787,75.22466247,159.5806578,182.0100517,201.6430175,24,0.001171074,59.57267442,38.87342705,49.22305073,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 7 i=6, j= 1","Brown Alpaca 7 i=6, j= 1 Mask 1.JPG",101.5327342,1.230117835,4.457639305,103.8479728,37.84174156,133.2671061,49.6232874,0.047253845,0.114959057,94.86019573,1.502496505,8.796245257,87.05024604,148.6994328,167.4849816,185.7774804,41,0.001637642,71.12215909,29.89203032,50.5070947,0
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 7 i=7, j= 1","Brown Alpaca 7 i=7, j= 1 Mask 1.JPG",101.0117468,1.168022067,4.054929377,100.5358349,34.59423598,135.8806297,46.45237076,0.028867646,0.071051505,90.29238598,1.224806202,6.60902649,82.82006416,153.793561,175.9978124,196.1542705,26,0.001236447,60.07714286,46.25009193,53.1636174,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 7 i=9, j= 1","Brown Alpaca 7 i=9, j= 1 Mask 1.JPG",98.96540282,1.133801786,4.074757234,100.3967696,35.64909969,133.5142732,46.25886888,0.033572439,0.081149661,88.87703118,1.262187088,7.294734787,75.22466247,159.5806578,182.0100517,201.6430175,24,0.001171074,59.57267442,38.87342705,49.22305073,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 8 i=8, j= 4","Brown Alpaca 8 i=8, j= 4 Mask 7.JPG",94.85844561,1.338070983,6.105488005,96.94832402,34.27859021,133.2047322,48.31030233,0.0776372,0.169158725,86.45990799,1.902645416,16.37988827,55.93606513,171.2617268,192.1985542,215.1506613,0,0,37.8246517,46.47904939,42.15185055,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 8 i=8, j= 5","Brown Alpaca 8 i=8, j= 5 Mask 4.JPG",93.50459254,1.054481399,3.903325924,97.33246655,35.62873799,131.6068867,44.14050245,0.032839827,0.071425576,82.69097848,1.17371975,7.253785178,57.89087596,167.2088995,188.6404127,209.5959151,146,0.006123134,41.96001338,116.7220031,79.34100825,1
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 9 i=8, j= 4","Brown Alpaca 9 i=8, j= 4 Mask 7.JPG",94.85844561,1.338070983,6.105488005,96.94832402,34.27859021,133.2047322,48.31030233,0.0776372,0.169158725,86.45990799,1.902645416,16.37988827,55.93606513,171.2617268,192.1985542,215.1506613,0,0,37.8246517,46.47904939,42.15185055,0
Animal,Alpaca,Brown Alpaca,"Brown Alpaca 9 i=8, j= 5","Brown Alpaca 9 i=8, j= 5 Mask 4.JPG",93.50459254,1.054481399,3.903325924,97.33246655,35.62873799,131.6068867,44.14050245,0.032839827,0.071425576,82.69097848,1.17371975,7.253785178,57.89087596,167.2088995,188.6404127,209.5959151,146,0.006123134,41.96001338,116.7220031,79.34100825,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 0 i=7, j= 1","Tan Alpaca 0 i=7, j= 1 Mask 0.JPG",99.06532812,1.116525911,4.067102626,101.1706155,36.89688147,134.4961388,47.36226217,0.029673688,0.079096973,89.54740232,1.273043935,7.393546055,20.83564363,161.2363302,188.8915944,217.7180271,54,0.001774448,67.713077,61.64214844,64.67761272,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 0 i=8, j= 2","Tan Alpaca 0 i=8, j= 2 Mask 1.JPG",98.09798128,1.177091352,4.664614009,101.5960817,38.42144861,132.920294,49.16336007,0.048866486,0.121098503,89.64181958,1.535991856,10.53216795,45.20875366,164.7031335,195.0338928,226.9026419,151,0.003749317,53.17401154,69.93119768,61.55260461,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 1 i=7, j= 1","Tan Alpaca 1 i=7, j= 1 Mask 0.JPG",99.06532812,1.116525911,4.067102626,101.1706155,36.89688147,134.4961388,47.36226217,0.029673688,0.079096973,89.54740232,1.273043935,7.393546055,20.83564363,161.2363302,188.8915944,217.7180271,54,0.001774448,67.713077,61.64214844,64.67761272,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 1 i=8, j= 2","Tan Alpaca 1 i=8, j= 2 Mask 1.JPG",98.09798128,1.177091352,4.664614009,101.5960817,38.42144861,132.920294,49.16336007,0.048866486,0.121098503,89.64181958,1.535991856,10.53216795,45.20875366,164.7031335,195.0338928,226.9026419,151,0.003749317,53.17401154,69.93119768,61.55260461,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 1 i=8, j= 3","Tan Alpaca 1 i=8, j= 3 Mask 6.JPG",97.2764648,1.086903003,4.009683243,101.1009355,38.2360906,134.3639422,47.20901034,0.037584113,0.093385853,88.79796488,1.302150008,7.701214508,20.94185604,165.0221548,196.5861164,230.0951013,0,0,30.84541913,43.23043446,37.03792679,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 10 i=6, j= 2","Tan Alpaca 10 i=6, j= 2 Mask 0.JPG",100.0907861,1.28559171,5.233152927,101.2526566,36.1882714,136.4764372,49.35245198,0.044683519,0.126856313,93.17553297,1.674773942,11.35905221,42.88428776,164.2541663,191.3904894,213.8545359,7,0.000231,69.43422425,72.16736224,70.80079325,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 10 i=7, j= 3","Tan Alpaca 10 i=7, j= 3 Mask 0.JPG",100.7025221,1.45921957,7.183444282,103.5044921,37.96733777,135.0057369,54.72744493,0.102262272,0.281593332,95.77599177,2.585403475,21.82610813,41.11903418,172.7673116,201.5984035,227.3445812,25,0.000676498,93.98648337,102.8929154,98.43969937,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 10 i=8, j= 5","Tan Alpaca 10 i=8, j= 5 Mask 0.JPG",100.423469,1.462196374,6.64365378,97.86476223,32.76418064,131.0014369,51.38631543,0.089497092,0.210708177,92.71690044,2.201094766,18.26674649,44.2886429,166.8703431,193.6636106,217.6534159,67,0.002292087,30.58820484,61.278826,45.93351542,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 11 i=6, j= 2","Tan Alpaca 11 i=6, j= 2 Mask 0.JPG",100.0907861,1.28559171,5.233152927,101.2526566,36.1882714,136.4764372,49.35245198,0.044683519,0.126856313,93.17553297,1.674773942,11.35905221,42.88428776,164.2541663,191.3904894,213.8545359,7,0.000231,69.43422425,72.16736224,70.80079325,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 11 i=7, j= 3","Tan Alpaca 11 i=7, j= 3 Mask 0.JPG",100.7025221,1.45921957,7.183444282,103.5044921,37.96733777,135.0057369,54.72744493,0.102262272,0.281593332,95.77599177,2.585403475,21.82610813,41.11903418,172.7673116,201.5984035,227.3445812,25,0.000676498,93.98648337,102.8929154,98.43969937,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 11 i=8, j= 5","Tan Alpaca 11 i=8, j= 5 Mask 0.JPG",100.423469,1.462196374,6.64365378,97.86476223,32.76418064,131.0014369,51.38631543,0.089497092,0.210708177,92.71690044,2.201094766,18.26674649,44.2886429,166.8703431,193.6636106,217.6534159,67,0.002292087,30.58820484,61.278826,45.93351542,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 12 i=6, j= 2","Tan Alpaca 12 i=6, j= 2 Mask 2.JPG",99.89929786,1.094281227,3.762795639,99.37255174,35.5872136,133.8957871,45.27896341,0.027392831,0.069382853,88.67895418,1.140243902,5.859386548,51.81324081,160.6303293,188.2891127,210.0229572,20,0.00092383,59.80110497,39.90540246,49.85325371,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 12 i=7, j= 2","Tan Alpaca 12 i=7, j= 2 Mask 1.JPG",104.2885527,1.561194498,6.899792295,99.56264451,32.06148842,130.8990477,54.70396206,0.081671043,0.203393816,99.38613473,2.263471411,17.62456402,44.600393,172.6906889,199.9440395,223.1445646,33,0.001293205,70.68421053,58.81365564,64.74893308,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 12 i=8, j= 2","Tan Alpaca 12 i=8, j= 2 Mask 5.JPG",99.63257869,1.283268912,5.519491993,102.2393153,37.81739371,131.0743236,51.75615682,0.079790171,0.195692987,92.54152402,1.931474324,15.18785202,35.43859928,167.9035945,194.8548396,219.7229308,0,0,58.62017711,49.23195884,53.92606798,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 13 i=6, j= 2","Tan Alpaca 13 i=6, j= 2 Mask 2.JPG",99.89929786,1.094281227,3.762795639,99.37255174,35.5872136,133.8957871,45.27896341,0.027392831,0.069382853,88.67895418,1.140243902,5.859386548,51.81324081,160.6303293,188.2891127,210.0229572,20,0.00092383,59.80110497,39.90540246,49.85325371,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 13 i=7, j= 2","Tan Alpaca 13 i=7, j= 2 Mask 1.JPG",104.2885527,1.561194498,6.899792295,99.56264451,32.06148842,130.8990477,54.70396206,0.081671043,0.203393816,99.38613473,2.263471411,17.62456402,44.600393,172.6906889,199.9440395,223.1445646,33,0.001293205,70.68421053,58.81365564,64.74893308,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 14 i=5, j= 3","Tan Alpaca 14 i=5, j= 3 Mask 1.JPG",102.8221026,1.436483911,6.093582988,99.8034533,33.84781552,128.2945771,51.98052846,0.055462122,0.144149195,95.36779161,1.903726128,13.23380798,53.86381164,154.927872,181.4968608,201.6476568,76,0.002840272,70.59894459,54.17924114,62.38909286,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 14 i=6, j= 3","Tan Alpaca 14 i=6, j= 3 Mask 1.JPG",97.47040485,1.192980893,4.748407785,98.64868837,34.68614439,130.6955863,45.69282501,0.049748363,0.113659645,86.90607046,1.481539215,10.37963746,55.18731924,164.8203883,192.1609513,214.5073484,0,0,55.08087141,34.3362276,44.7085495,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 14 i=6, j= 3","Tan Alpaca 14 i=6, j= 3 Mask 2.JPG",102.7160641,1.503420147,6.686621065,100.2373285,34.91617453,126.8990526,53.17929218,0.069380125,0.172664316,95.72813018,2.119641416,16.15290819,62.63534957,163.0202651,189.4681791,211.5522134,150,0.006372674,82.71104966,59.49229979,71.10167473,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 14 i=7, j= 2","Tan Alpaca 14 i=7, j= 2 Mask 2.JPG",106.213878,1.637712111,7.13714907,96.85741467,29.99953403,127.131907,54.06337126,0.070516056,0.177921019,99.56486623,2.192016464,15.8213412,58.07676078,167.1066242,192.9485517,215.8262794,0,0,68.63415794,52.33016255,60.48216024,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 14 i=7, j= 3","Tan Alpaca 14 i=7, j= 3 Mask 1.JPG",100.5344169,1.437996925,6.207862948,98.78950143,32.8997584,129.3817703,50.2047002,0.061190424,0.149308148,92.2887327,1.942411597,14.67757523,57.27744245,169.1319072,196.2099183,219.2013968,6,0.000263551,62.88674033,29.59482881,46.24078457,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 14 i=8, j= 2","Tan Alpaca 14 i=8, j= 2 Mask 2.JPG",102.1882998,1.330516367,5.216274016,98.928771,33.45569315,130.2618399,49.5535511,0.043013349,0.109792694,94.16994929,1.619399124,10.32109965,67.41738287,161.2556567,188.6086852,211.5661217,84,0.002897351,75.89267016,57.51097422,66.70182219,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 14 i=9, j= 2","Tan Alpaca 14 i=9, j= 2 Mask 0.JPG",100.8493367,1.17094827,4.153365621,98.38215063,33.35158279,132.684495,44.84224749,0.022109918,0.061170773,89.34589738,1.181687373,6.020004211,59.08255798,163.8165994,190.2948938,211.9725215,156,0.005474645,77.2195122,52.34345807,64.78148513,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 15 i=5, j= 3","Tan Alpaca 15 i=5, j= 3 Mask 1.JPG",102.8221026,1.436483911,6.093582988,99.8034533,33.84781552,128.2945771,51.98052846,0.055462122,0.144149195,95.36779161,1.903726128,13.23380798,53.86381164,154.927872,181.4968608,201.6476568,76,0.002840272,70.59894459,54.17924114,62.38909286,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 15 i=6, j= 3","Tan Alpaca 15 i=6, j= 3 Mask 1.JPG",97.47040485,1.192980893,4.748407785,98.64868837,34.68614439,130.6955863,45.69282501,0.049748363,0.113659645,86.90607046,1.481539215,10.37963746,55.18731924,164.8203883,192.1609513,214.5073484,0,0,55.08087141,34.3362276,44.7085495,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 15 i=6, j= 3","Tan Alpaca 15 i=6, j= 3 Mask 2.JPG",102.7160641,1.503420147,6.686621065,100.2373285,34.91617453,126.8990526,53.17929218,0.069380125,0.172664316,95.72813018,2.119641416,16.15290819,62.63534957,163.0202651,189.4681791,211.5522134,150,0.006372674,82.71104966,59.49229979,71.10167473,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 15 i=7, j= 2","Tan Alpaca 15 i=7, j= 2 Mask 2.JPG",106.213878,1.637712111,7.13714907,96.85741467,29.99953403,127.131907,54.06337126,0.070516056,0.177921019,99.56486623,2.192016464,15.8213412,58.07676078,167.1066242,192.9485517,215.8262794,0,0,68.63415794,52.33016255,60.48216024,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 15 i=7, j= 3","Tan Alpaca 15 i=7, j= 3 Mask 1.JPG",100.5344169,1.437996925,6.207862948,98.78950143,32.8997584,129.3817703,50.2047002,0.061190424,0.149308148,92.2887327,1.942411597,14.67757523,57.27744245,169.1319072,196.2099183,219.2013968,6,0.000263551,62.88674033,29.59482881,46.24078457,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 15 i=8, j= 2","Tan Alpaca 15 i=8, j= 2 Mask 2.JPG",102.1882998,1.330516367,5.216274016,98.928771,33.45569315,130.2618399,49.5535511,0.043013349,0.109792694,94.16994929,1.619399124,10.32109965,67.41738287,161.2556567,188.6086852,211.5661217,84,0.002897351,75.89267016,57.51097422,66.70182219,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 15 i=9, j= 2","Tan Alpaca 15 i=9, j= 2 Mask 0.JPG",100.8493367,1.17094827,4.153365621,98.38215063,33.35158279,132.684495,44.84224749,0.022109918,0.061170773,89.34589738,1.181687373,6.020004211,59.08255798,163.8165994,190.2948938,211.9725215,156,0.005474645,77.2195122,52.34345807,64.78148513,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 17 i=8, j= 4","Tan Alpaca 17 i=8, j= 4 Mask 1.JPG",95.1672883,0.97568725,3.471888382,99.00649261,36.85087719,133.1328222,42.56133444,0.028871391,0.072316618,81.66369664,1.068448681,6.216051941,50.97262415,165.3702604,193.2605843,221.8115201,8,0.000552524,64.99254749,54.42857143,59.71055946,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 22 i=9, j= 4","Tan Alpaca 22 i=9, j= 4 Mask 0.JPG",96.85298574,1.066902366,3.772291076,98.11838067,34.99017056,133.9374102,44.41427406,0.032596449,0.074245309,85.76455962,1.148257508,6.698589689,16.15867904,166.7161616,194.9457653,224.7246698,129,0.005011655,58.63687939,54.88059701,56.7587382,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 23 i=7, j= 3","Tan Alpaca 23 i=7, j= 3 Mask 0.JPG",92.61974431,0.890066316,2.950229029,99.81260682,38.14473234,133.768647,43.05530868,0.023928352,0.060162713,80.83188624,0.931838381,4.918506871,2.057363438,180.4604184,209.1974296,236.9198797,77,0.005263877,45.14506173,47.37459741,46.25982957,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 23 i=9, j= 4","Tan Alpaca 23 i=9, j= 4 Mask 0.JPG",96.85298574,1.066902366,3.772291076,98.11838067,34.99017056,133.9374102,44.41427406,0.032596449,0.074245309,85.76455962,1.148257508,6.698589689,16.15867904,166.7161616,194.9457653,224.7246698,129,0.005011655,58.63687939,54.88059701,56.7587382,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 24 i=5, j= 2","Tan Alpaca 24 i=5, j= 2 Mask 0.JPG",95.65517554,0.918369196,2.85612684,99.45798414,36.85005663,134.4393658,40.98450736,0.017032843,0.038595696,82.04765572,0.822559456,3.716874292,46.11627895,152.8611161,178.0367367,195.2708824,24,0.001087153,63.98550725,28.71892284,46.35221504,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 24 i=6, j= 1","Tan Alpaca 24 i=6, j= 1 Mask 3.JPG",98.18829803,1.41542737,6.640716539,101.1188598,36.59043113,132.6331681,51.51306895,0.095914075,0.233213159,91.59497521,2.285826949,17.79052126,49.13072659,150.9605693,173.4073754,188.0469789,21,0.000788614,28.98592524,59.83820225,44.41206375,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 24 i=7, j= 2","Tan Alpaca 24 i=7, j= 2 Mask 2.JPG",93.33733671,0.894442434,2.90852555,98.90414925,37.07502221,133.5624362,40.03777434,0.015530914,0.035832977,79.45733934,0.812872232,3.807245566,49.9763915,168.4573901,195.0652145,217.2125559,78,0.002566465,79.97631579,15.24916212,47.61273895,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 24 i=7, j= 4","Tan Alpaca 24 i=7, j= 4 Mask 0.JPG",97.50906263,1.267153197,6.068253873,102.5377161,39.90333194,128.2856374,52.387749,0.112879105,0.289824729,88.85673267,2.28156966,20.06562182,48.41052048,174.7122862,200.5972006,221.5587391,19,0.0011365,42.63430721,57.4467354,50.0405213,0
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 24 i=8, j= 3","Tan Alpaca 24 i=8, j= 3 Mask 3.JPG",98.51388075,1.355042755,6.543926438,102.0936512,38.36423802,128.2099098,53.53490688,0.112861661,0.269708328,90.76244582,2.363300925,20.88567412,76.61863253,161.8739678,188.1452416,212.5616398,28,0.001639824,28.41266233,54.03164557,41.22215395,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 25 i=5, j= 2","Tan Alpaca 25 i=5, j= 2 Mask 0.JPG",95.65517554,0.918369196,2.85612684,99.45798414,36.85005663,134.4393658,40.98450736,0.017032843,0.038595696,82.04765572,0.822559456,3.716874292,46.11627895,152.8611161,178.0367367,195.2708824,24,0.001087153,63.98550725,28.71892284,46.35221504,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 25 i=6, j= 1","Tan Alpaca 25 i=6, j= 1 Mask 3.JPG",98.18829803,1.41542737,6.640716539,101.1188598,36.59043113,132.6331681,51.51306895,0.095914075,0.233213159,91.59497521,2.285826949,17.79052126,49.13072659,150.9605693,173.4073754,188.0469789,21,0.000788614,28.98592524,59.83820225,44.41206375,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 25 i=6, j= 3","Tan Alpaca 25 i=6, j= 3 Mask 0.JPG",98.85397762,1.443209316,7.184134906,101.3537508,36.86811857,129.2011494,54.81503327,0.141787659,0.351255293,92.54877495,2.729960678,23.50771325,60.12646628,164.5814745,190.7642344,212.2811342,0,0,32.75082024,71.05980047,51.90531036,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 25 i=7, j= 4","Tan Alpaca 25 i=7, j= 4 Mask 0.JPG",97.50906263,1.267153197,6.068253873,102.5377161,39.90333194,128.2856374,52.387749,0.112879105,0.289824729,88.85673267,2.28156966,20.06562182,48.41052048,174.7122862,200.5972006,221.5587391,19,0.0011365,42.63430721,57.4467354,50.0405213,1
Animal,Alpaca,Tan Alpaca,"Tan Alpaca 25 i=8, j= 3","Tan Alpaca 25 i=8, j= 3 Mask 3.JPG",98.51388075,1.355042755,6.543926438,102.0936512,38.36423802,128.2099098,53.53490688,0.112861661,0.269708328,90.76244582,2.363300925,20.88567412,76.61863253,161.8739678,188.1452416,212.5616398,28,0.001639824,28.41266233,54.03164557,41.22215395,1
